text,label,label_id
and ran by whites  governor  legislature and all  correct ?,not_hate,0
poor blacks n america are the most spoiled & pampered group of people n,explicit_hate,2
rt : what #marriage most needs,not_hate,0
cake artist ordered to ignore his faith and complete re-education supporting same-sex marriage,not_hate,0
very unlikely for most unless its a massive purge for everyone but them . the paranoid few on places like 4chan will still call them shills regardless of what happens  though .,not_hate,0
race relations in us is managed by a thin veneer of civility and doesn't take much to expose truth . blacks hate your white guts,implicit_hate,1
she was a racist bigot .,not_hate,0
let's be a white resister !,not_hate,0
google searches for white genocide soar after tweet via #makeamericagreatagain,not_hate,0
" may i ask  what message do you hope to get from the  "" white lives matter rally "" "" ? """,not_hate,0
excellent ! the jihad of words via,implicit_hate,1
here you go again . you don't know me but of course you have to call me racist . what if i tell you that my kid is black ?,not_hate,0
hey everybody ... i encourage you to follow the only voice of truth these days #nationalsocialism,implicit_hate,1
it works but i will admit that it is painful . less so than letting a tear ruin your progress  however .,not_hate,0
. is she a christian ? or jew ?,not_hate,0
they won't stop until they have turned the country into a third world hellhole.,implicit_hate,1
it's failed reganomics all over again ! ! why do people stay stuck in stupid gear ! ! !,not_hate,0
meaning 1 white for every 30 ?,implicit_hate,1
the black guy is trying to tell the other guy what his iq is . #drainthesewer,implicit_hate,1
caution washington dc residents . white supremacist group met in alexandria this morning . the group was founded by nathan damigo  who is known for attacking people who appear to be muslim . they might be dressed in suits but please be careful . they may attack .,not_hate,0
"****they dont look human. they look like a bunch of ugly monkeys, sorry monkeys r better looking !!!",implicit_hate,1
j . graf and the illogical canard : ' where did jews go then ? ' : we hear the logically flawed question repeatedly  ...,not_hate,0
o germans ! ! unite and rise to save fatherland & your honour from muslim invaders,implicit_hate,1
the parties changed their positions . gop started out liberal . dems were originally conservative . started changing in the late 40s,not_hate,0
can i be black now you guys ?,not_hate,0
growing ? or white flight from other citiies ?,not_hate,0
what the fuhrer said about jew communists came to pass. they are the parasites of the earth.,implicit_hate,1
please let us in . we're good boys . white pooooooooower,not_hate,0
rt the active shooter in charleston sc is a crazy black man not a white supremacist . i know you democrat race baiters ( cont,implicit_hate,1
orban : hungary is a refuge for white europeans #swrm via,not_hate,0
the alt right is not anti christianity but rather anti christian cuck . it values family  tradition  and volk not vagueness of family values,implicit_hate,1
3rd circuit reinstates lawsuit against pittsburgh censorship zones via #prolife,not_hate,0
are you arguing against racial separation ? or just against incomplete separation ?,not_hate,0
these daca activists hate the us why legalize them ? ? ?,implicit_hate,1
admiral ramdas write 2 leela ramdas #aaptards daughter kavita  head of ford foundation in india,not_hate,0
hate crime charge dropped for 4 black teens who kidnapped and tortured a white teenager .,not_hate,0
: i think social media is one reason why the polls are trending #prolife . #prolifecon,not_hate,0
"Bring the pain down upon her mom. #Trump #MAGA #KAG2020 #2A #USA #Mueller #AntiFa Address: 1315 Peach Orchard RdSalisbury, North Carolina 28146 tel (704) 630-4700Websitehttp://dillards.com https://bigleaguepolitics.com/meet-the-charlotte-a...",explicit_hate,2
old but accurate post on the #zimmerman trial . the #media spin and facts of the case . #msm #naacp,not_hate,0
because africans are easily dominated and make natural slaves,implicit_hate,1
michael medved you are slime . donald trump isn't asking white supremacists to do robocalls in his name . #saynotorubiobama,not_hate,0
i'm so sick of candlelight vigils for the victims of #diversity . i want more for my people . they deserve more than a melting candle to remember them by . they deserve justice . the middle classes will be provoked  and their rage will not subside .,implicit_hate,1
: nine uk muslims  including four children  arrested by turkish cops as they try to join the islamic,not_hate,0
dnc chair candidate wants to ' shut other white people down ' via,not_hate,0
collective exhale after high court announcement #neilgorsuch,not_hate,0
can i join ur clan,not_hate,0
zuckerberg's dream : the anti-white racist social network via the jew behind this rt,implicit_hate,1
' hope not hate ' sent a swedish guy undercover in the alt right for a year .,not_hate,0
should of had me on so we could of had the whole manlete nationalism crew haha,not_hate,0
"yeah, how dare those extreme left wingers jump in front of a car driven by a poor ickle innocent nazi ?",implicit_hate,1
adolf hitler : jews can never rule the world unless they bastardize the white european races,implicit_hate,1
" rt 2 / ... jared taylor  american renaissance  among other things  to my attention . ... i am mailing in a donation . keep up the good work .  "" """,not_hate,0
" the alt-lite tought they were dissociating themselves from a dead weight that was  "" bad optics "" "" . lol """,not_hate,0
" how's your buddy jason kessler the cnn occupy wall street reporter ? oops i mean  "" alt right thought lead """,not_hate,0
"  "" these people "" "" ? you mean the scores of "" "" white people "" "" who are in favor """,not_hate,0
if they don't say they are for the white race  upfront  its because they aren't ! so don't expect much !,not_hate,0
civic nationalism is an oxymoron in a multiracial society where about 15 % population is foreign born  t,not_hate,0
"well, kind of tells you where most of society views your place on the pyramid of degenerate behavior.",implicit_hate,1
america is such a white supremacist country that our government is importing brown ppl by the millions makes sense,not_hate,0
#mexican beer makers donate to organization that supports undocumented immigrants in colima  mexico,not_hate,0
: so mr spencer ... muslims hate you and in all your clever rhetoric  best you can do is hate them back ! #spoil,not_hate,0
german refugee camps close to breaking point squalor  food limited  whistle blowers sacked or threatened #rtnews,not_hate,0
" rt the life of the prophet is valid as a law for every muslim  how many thousands of innocents did he slaughtered during his  "" holy "" "" life ? """,implicit_hate,1
"I just think that the feminist movement glorifies obesity. It should focus on being healthy, because what it's doing now is just as bad as the mainstream media!",implicit_hate,1
fore sure : i'm exhausted by losers and bored of losing.you ' re repelling good people ( and,not_hate,0
compare what happened to jew_goldstein to the violence we routinely see from black lives matter and antifa,implicit_hate,1
trump rt'd a white nationalist.meanwhile  obama has black nationalists over for white house dinners .,not_hate,0
then what do you want ? i want to be able to live on the south side ... but black crime dissuades that . #chicago,implicit_hate,1
you really hate white people don't you ?,not_hate,0
cpcs are not clinics ! they are religious orgs that lie to #women and coerce them into carr,not_hate,0
you mean the obvious fact that society is becoming aggressive towards whites ?,not_hate,0
